Epoch,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1
1,"[0.8663105368614197, 0.7931217551231384, 0.759061872959137, 0.7361616492271423, 0.7008354067802429, 0.649196445941925, 0.6319836974143982, 0.6539279818534851, 0.6189473271369934, 0.5991345643997192, 0.5875279307365417, 0.5651565194129944, 0.576581597328186, 0.5496212244033813, 0.5550904870033264, 0.5382693409919739, 0.5612950325012207, 0.5317766666412354, 0.5147204399108887, 0.5509144067764282, 0.5265905261039734, 0.5292428731918335]","[0.242, 0.359, 0.431, 0.427, 0.5, 0.574, 0.598, 0.547, 0.587, 0.64, 0.738, 0.795, 0.734, 0.802, 0.773, 0.756, 0.723, 0.78, 0.73, 0.719, 0.775, 0.776]","[0.35654351115226746, 0.39566490054130554, 0.421798437833786, 0.37263450026512146, 0.3819787800312042, 0.4814126193523407, 0.4315263032913208, 0.38310104608535767, 0.363826185464859, 0.36034122109413147, 0.3097715675830841, 0.24569733440876007, 0.06572269648313522, 0.10487411916255951, 0.03789649158716202, 0.1868715137243271, 0.380845844745636, 0.3982198238372803, 0.3338545560836792, 0.4097440838813782, 0.2519152760505676, 0.2505626380443573]",5.060668404897054,1.9800000000000002,0.43757036328315735
2,"[0.5252740383148193, 0.5298627614974976, 0.5066039562225342, 0.5320287346839905, 0.4930284917354584, 0.48619160056114197, 0.5274502635002136, 0.5007643699645996, 0.5082213878631592, 0.514430820941925, 0.5083529353141785, 0.5130718350410461, 0.5087591409683228, 0.5025119781494141, 0.49813729524612427, 0.5061835050582886, 0.47526630759239197, 0.5029475688934326, 0.46745574474334717, 0.4808312952518463, 0.49328532814979553, 0.5752769112586975]","[0.779, 0.765, 0.816, 0.791, 0.834, 0.825, 0.728, 0.797, 0.774, 0.774, 0.781, 0.74, 0.747, 0.735, 0.779, 0.742, 0.789, 0.726, 0.795, 0.764, 0.776, 0.718]","[0.1979636251926422, 0.22989268600940704, 0.24418601393699646, 0.12317128479480743, 0.14961494505405426, 0.1232851967215538, 0.029550282284617424, 0.16247577965259552, 0.24581828713417053, 0.3426167964935303, 0.30504316091537476, 0.34449782967567444, 0.3738429546356201, 0.3300115168094635, 0.5214363932609558, 0.3123224973678589, 0.3587840795516968, 0.3127196729183197, 0.31647002696990967, 0.2510523498058319, 0.19760996103286743, 0.4159446358680725]",0.5072607636451721,3.0909999999999997,0.3955687880516052
3,"[0.5184428691864014, 0.48287299275398254, 0.5103989839553833, 0.5008125901222229, 0.5059524178504944, 0.4708513915538788, 0.4908560514450073, 0.5002713799476624, 0.4608384668827057, 0.48036521673202515, 0.46576520800590515, 0.4747515618801117, 0.4896557629108429, 0.4552465081214905, 0.4693281650543213, 0.47628799080848694, 0.4603400230407715, 0.44886037707328796, 0.4297669231891632, 0.43768757581710815, 0.46182820200920105, 0.5139431953430176]","[0.757, 0.792, 0.748, 0.766, 0.764, 0.809, 0.751, 0.756, 0.825, 0.749, 0.803, 0.77, 0.764, 0.806, 0.77, 0.798, 0.798, 0.809, 0.809, 0.815, 0.789, 0.75]","[0.3737754821777344, 0.3151338994503021, 0.22054637968540192, 0.310863196849823, 0.26044347882270813, 0.4065421223640442, 0.33649230003356934, 0.2828019857406616, 0.35932567715644836, 0.26335397362709045, 0.4070031940937042, 0.22583921253681183, 0.21866096556186676, 0.34210702776908875, 0.29576587677001953, 0.37086594104766846, 0.33424559235572815, 0.536850094795227, 0.38303691148757935, 0.39758890867233276, 0.5075648427009583, 0.25307345390319824]",0.510818878809611,2.946,0.532792866230011
4,"[0.4346216320991516, 0.4814288020133972, 0.47385087609291077, 0.4778106212615967, 0.472449392080307, 0.47169578075408936, 0.47540292143821716, 0.45429563522338867, 0.5003215074539185, 0.4352637529373169, 0.44223055243492126, 0.44654208421707153, 0.4570122957229614, 0.44917821884155273, 0.4542490243911743, 0.47435301542282104, 0.4536276161670685, 0.43564486503601074, 0.47202590107917786, 0.44310545921325684, 0.426592081785202, 0.4520207345485687]","[0.804, 0.762, 0.788, 0.758, 0.774, 0.784, 0.767, 0.802, 0.753, 0.813, 0.793, 0.799, 0.775, 0.761, 0.761, 0.744, 0.784, 0.791, 0.754, 0.78, 0.813, 0.835]","[0.3516872525215149, 0.4222481846809387, 0.33394935727119446, 0.25833117961883545, 0.23579062521457672, 0.16957060992717743, 0.19408169388771057, 0.3626790940761566, 0.34507840871810913, 0.37352123856544495, 0.4994530975818634, 0.3779299259185791, 0.3934391736984253, 0.39925670623779297, 0.4156716465950012, 0.2902357876300812, 0.3775995373725891, 0.39610323309898376, 0.3257797956466675, 0.2814398407936096, 0.35924291610717773, 0.18244177103042603]",0.4628023862838745,3.1100000000000003,0.35747358202934265
5,"[0.47731465101242065, 0.42738866806030273, 0.42957961559295654, 0.42321717739105225, 0.43044909834861755, 0.4983716607093811, 0.44626384973526, 0.4515964686870575, 0.4196692705154419, 0.40526261925697327, 0.3938126266002655, 0.4553476572036743, 0.43074628710746765, 0.42833876609802246, 0.41265466809272766, 0.38589799404144287, 0.4341178238391876, 0.4281177520751953, 0.419756680727005, 0.4116518795490265, 0.387571781873703, 0.4579910635948181]","[0.745, 0.799, 0.801, 0.796, 0.8, 0.742, 0.767, 0.772, 0.78, 0.793, 0.822, 0.763, 0.785, 0.792, 0.816, 0.856, 0.784, 0.781, 0.79, 0.797, 0.828, 0.738]","[0.18394741415977478, 0.307007372379303, 0.26648110151290894, 0.48433253169059753, 0.4495317339897156, 0.3344556987285614, 0.4008195698261261, 0.4614343047142029, 0.4239877760410309, 0.4688095450401306, 0.47868165373802185, 0.3625928461551666, 0.34868988394737244, 0.38474318385124207, 0.38708165287971497, 0.3061133623123169, 0.25287044048309326, 0.410752534866333, 0.31133177876472473, 0.4924790859222412, 0.5389758944511414, 0.31260961294174194]",0.40376266837120056,3.165,0.5315797328948975
6,"[0.4033849239349365, 0.47010374069213867, 0.40984365344047546, 0.428487092256546, 0.43554389476776123, 0.46300438046455383, 0.39593949913978577, 0.43030086159706116, 0.40425044298171997, 0.38040271401405334, 0.41916507482528687, 0.40580111742019653, 0.3611944019794464, 0.38651835918426514, 0.4296036958694458, 0.3929687738418579, 0.3709716498851776, 0.39019471406936646, 0.4390285015106201, 0.38152971863746643, 0.3860085904598236, 0.42731356620788574]","[0.787, 0.756, 0.793, 0.767, 0.78, 0.777, 0.801, 0.784, 0.798, 0.827, 0.797, 0.788, 0.847, 0.827, 0.78, 0.804, 0.832, 0.796, 0.776, 0.808, 0.806, 0.767]","[0.521719753742218, 0.43191638588905334, 0.4163637161254883, 0.48071515560150146, 0.4337817132472992, 0.388491153717041, 0.41340771317481995, 0.4190080761909485, 0.4279986321926117, 0.47154855728149414, 0.41528555750846863, 0.43425074219703674, 0.49399998784065247, 0.5789305567741394, 0.41444119811058044, 0.5191044211387634, 0.5473830103874207, 0.4688244163990021, 0.41156989336013794, 0.515542209148407, 0.5353648066520691, 0.4942537248134613]",0.4200810194015503,3.142,0.6819815635681152
7,"[0.38737961649894714, 0.3665580749511719, 0.38423818349838257, 0.3847912847995758, 0.3465128242969513, 0.40005970001220703, 0.3693329691886902, 0.36207151412963867, 0.40767642855644226, 0.4135948717594147, 0.3896951675415039, 0.40187492966651917, 0.385310560464859, 0.46023476123809814, 0.40390798449516296, 0.4261194169521332, 0.3835482597351074, 0.39023277163505554, 0.3830795884132385, 0.4014093279838562, 0.4327259659767151, 0.3169107735157013]","[0.803, 0.826, 0.805, 0.805, 0.814, 0.794, 0.811, 0.823, 0.79, 0.783, 0.789, 0.788, 0.804, 0.748, 0.785, 0.755, 0.799, 0.809, 0.8, 0.795, 0.771, 0.872]","[0.5074122548103333, 0.582085907459259, 0.5787256360054016, 0.46052759885787964, 0.580365777015686, 0.5422952175140381, 0.5367017984390259, 0.6169900298118591, 0.5709165930747986, 0.5346531867980957, 0.4729467034339905, 0.5398544073104858, 0.5068722367286682, 0.4545148015022278, 0.518158495426178, 0.3161497116088867, 0.4526230990886688, 0.4627786874771118, 0.4470253586769104, 0.35979944467544556, 0.3840514123439789, 0.46890756487846375]",0.4131848355134328,3.1340000000000003,0.5577636957168579
8,"[0.37834030389785767, 0.37490251660346985, 0.35235318541526794, 0.37150710821151733, 0.39358216524124146, 0.3523141145706177, 0.34778887033462524, 0.35795485973358154, 0.3985995352268219, 0.3801226317882538, 0.470497727394104, 0.3718736171722412, 0.37803205847740173, 0.37589868903160095, 0.3574264943599701, 0.3578837215900421, 0.3884507715702057, 0.37568768858909607, 0.3341476619243622, 0.39657318592071533, 0.35084521770477295, 0.38570648431777954]","[0.805, 0.803, 0.826, 0.81, 0.786, 0.818, 0.838, 0.824, 0.781, 0.808, 0.737, 0.797, 0.791, 0.801, 0.803, 0.824, 0.8, 0.805, 0.84, 0.787, 0.827, 0.785]","[0.37567368149757385, 0.3935664892196655, 0.46381649374961853, 0.5462932586669922, 0.4413604140281677, 0.4968440532684326, 0.6317628026008606, 0.6505676507949829, 0.4803388714790344, 0.585303544998169, 0.38463616371154785, 0.543918788433075, 0.5634982585906982, 0.5318275094032288, 0.5390315055847168, 0.6326124668121338, 0.472179651260376, 0.5580281019210815, 0.5290089845657349, 0.537237286567688, 0.5545369386672974, 0.511806845664978]",0.4338713844617208,3.01,0.6462430357933044
9,"[0.36742061376571655, 0.34943848848342896, 0.34773844480514526, 0.33274272084236145, 0.3407021760940552, 0.36100053787231445, 0.37362319231033325, 0.32062828540802, 0.347172349691391, 0.41738367080688477, 0.31924042105674744, 0.35530537366867065, 0.34235796332359314, 0.365265816450119, 0.3450287878513336, 0.32046449184417725, 0.3255334794521332, 0.47178250551223755, 0.3447597920894623, 0.37008193135261536, 0.36757218837738037, 0.32761630415916443]","[0.81, 0.828, 0.819, 0.841, 0.814, 0.805, 0.806, 0.837, 0.827, 0.775, 0.848, 0.795, 0.832, 0.8, 0.812, 0.837, 0.84, 0.77, 0.81, 0.805, 0.8, 0.828]","[0.5538458824157715, 0.5607019066810608, 0.583859920501709, 0.6546838879585266, 0.5292671322822571, 0.5422749519348145, 0.5664725303649902, 0.6239995360374451, 0.5588607788085938, 0.4775070250034332, 0.5730833411216736, 0.49262070655822754, 0.5648312568664551, 0.5683353543281555, 0.552792489528656, 0.6085565090179443, 0.61839359998703, 0.4593154191970825, 0.6026180982589722, 0.47783589363098145, 0.6125381588935852, 0.4788196384906769]",0.40443026423454287,3.052,0.6913588047027588
10,"[0.3365969657897949, 0.3474106788635254, 0.3610917925834656, 0.3700356185436249, 0.3230861723423004, 0.3666244447231293, 0.39481860399246216, 0.36345916986465454, 0.38908568024635315, 0.3980092406272888, 0.36991313099861145, 0.3463849127292633, 0.38468360900878906, 0.41439253091812134, 0.367036372423172, 0.36724984645843506, 0.3060236871242523, 0.34292250871658325, 0.33761918544769287, 0.31411662697792053, 0.38328999280929565, 0.2814059853553772]","[0.825, 0.822, 0.801, 0.809, 0.833, 0.813, 0.778, 0.82, 0.797, 0.778, 0.805, 0.815, 0.803, 0.789, 0.82, 0.802, 0.842, 0.826, 0.821, 0.839, 0.777, 0.848]","[0.5008521676063538, 0.5614160299301147, 0.5351519584655762, 0.5732333660125732, 0.5531322360038757, 0.48340722918510437, 0.5226778984069824, 0.548189640045166, 0.5615895390510559, 0.48631495237350464, 0.5033413767814636, 0.6173385381698608, 0.4929879605770111, 0.5089331269264221, 0.5903902053833008, 0.4576750099658966, 0.6162809729576111, 0.583440363407135, 0.5673986077308655, 0.5586881637573242, 0.5366297364234924, 0.6153361797332764]",0.3721306125322978,3.2079999999999997,0.6696195006370544
